"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey",AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,SpinyDogfish,StripedBass,Goosefish,Haddock,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal,WhitePerch,AtlanticTomcod
1.0,LargeZooplankton,32.563988,56.876762,54.71739,29.464186,47.80447,66.20287,90.08423,24.873854,44.66703,75.90999,77.38745,67.54255,64.51521,34.56386,78.12782,47.73792,13.948907,22.683195
1.0,MediumPhytoplankton,0.064717054,0.018146593,0.047174755,0.03220588,0.0028674367,0.04558721,0.015018569,0.06135036,0.027286667,0.04252821,0.0,0.007053039,0.01663679,0.036372937,0.027652401,0.030631108,0.01669876,0.0312053
1.0,MediumZooplankton,0.02595908,0.0016094384,0.004029265,0.0020132891,0.0010967709,0.0034931854,0.0035791264,0.002935853,0.0024916162,0.004230223,4.9770944E-4,0.0011752518,0.002423333,0.0030135217,0.0021574576,0.0026555667,0.010588384,0.0020519283
1.0,SmallPhytoplankton,0.0026347446,0.001076916,0.0014156562,0.0018991692,0.0,1.3702022E-4,0.0,0.002865406,0.0018162496,3.941949E-4,0.0,0.0,2.3047147E-4,0.0021527056,0.0,0.0017907154,0.002146455,0.0036725677
1.0,SmallZooplankton,64.309845,32.470608,32.89024,62.810486,0.0,8.058261,0.0,73.91261,47.60218,19.759815,0.0,0.0,16.38268,58.602768,0.0,44.973007,72.305374,61.76193
2.0,AtlanticHerring,1.7522403E-7,4.9594536E-7,3.0317908E-6,1.909859E-6,0.0073193256,1.9491592E-6,0.0067901853,0.0,2.1182093E-7,3.1622752E-5,1.1841622E-5,0.009096793,1.8532886E-4,8.595368E-7,6.4355327E-6,1.1310937E-8,4.5672823E-7,2.5249685E-9
2.0,AtlanticMackerel,0.010464732,0.23097444,0.045200866,0.012921601,1.9848267,0.5139573,0.46176174,0.0,0.11288935,0.2469238,1.8522162E-5,1.5364188,0.0036887908,0.08003288,1.7227815E-4,0.0026538677,0.5918368,0.039868884
2.0,BlackSeaBass,4.5847366E-4,0.65791106,0.44176275,0.16975589,2.0666757,1.454751,0.9403174,0.0,0.13057432,0.5473571,0.029662704,1.9998976,1.5733103,0.05366401,0.054261792,0.18452066,2.5257785,0.12572972
2.0,Scup,3.6598647E-7,0.0027588166,0.0010142501,2.6250316E-5,0.091860496,0.0114887385,0.0042338497,0.0,2.8081573E-4,0.0022646508,1.3279006E-6,0.045152877,0.016658582,3.0094097E-5,1.5248414E-4,5.95384E-6,0.0020380158,2.1147707E-5
2.0,SpinyDogfish,0.0,0.0,1.19494015E-8,0.0,0.5707815,5.209001E-8,1.7287962E-4,0.0,0.0,0.0,8.891522E-16,0.0,1.5202704E-5,0.0,0.0,0.0,0.0,0.0
2.0,StripedBass,1.8043828E-6,0.004313694,0.0034070497,0.0022310764,0.5346455,0.09575947,0.016236702,0.0,0.0041027907,0.004645168,1.619452E-5,0.27458882,1.7041841E-4,8.6199754E-5,1.657406E-4,5.9889216E-4,0.18340255,0.013269877
2.0,Goosefish,0.001079997,0.33077598,0.17483227,0.016022526,5.294035,0.5671445,1.4291633,3.4412231,0.010111464,0.21792509,0.005215913,3.4106,1.8903346,5.8026826E-6,0.0018543681,1.4022249E-4,0.0014174139,0.008261218
2.0,Haddock,0.0,1.3791966E-14,6.4157257E-13,3.4629136E-11,5.262176E-6,4.693698E-13,2.8247591E-8,0.0,0.0,0.0,2.4573819E-23,4.0433156E-6,1.8662764E-8,0.0,5.014682E-22,0.0,0.0,0.0
2.0,WinterFlounder,0.6297541,1.917467,0.9821382,0.731153,3.398531,2.2028596,1.4307829,2.019824,2.2163215,0.59474254,0.67523694,2.62573,0.3331958,0.7323523,0.0957514,1.9206259,5.552831,0.6685869
2.0,Squids,0.42081857,2.9833286,1.4756018,0.28980327,6.3953505,1.2613277,3.6723368,5.406194,0.10026855,0.8724556,2.8713305,5.675808,1.8616976,0.07201363,0.8049743,0.104449436,0.0,0.0
2.0,Flounders,0.38953686,1.0843779,0.383398,1.7029258,8.835709,1.5937896,0.95016104,2.4767764,0.21748929,0.4345364,0.017851206,6.3789353,0.70669204,0.2204298,1.4499298,0.30725056,0.007713853,8.9255496E-5
2.0,SkateRays,0.0,0.00226574,1.7655617E-5,0.0020462028,0.18503432,0.0052437386,0.005303443,3.106958E-9,2.25051E-8,5.825157E-4,9.6807735E-6,0.039168175,0.0018608721,0.0,1.4955015E-6,2.353208E-6,0.0,0.0
2.0,Hakes,3.0991491E-6,0.018110111,0.016508076,0.022010244,1.0222769,0.19748954,0.29190043,0.2920746,0.03191319,0.0025662098,1.03029315E-5,0.61297786,0.34411934,3.3553483E-4,0.0023417838,0.0034582024,2.2542781E-5,3.764359E-4
2.0,Benthopelagics,9.290467,14.600572,8.313109,18.426218,12.074578,27.265118,3.988893,10.359316,2.1355155,8.189774,8.942039,13.196961,12.629769,3.82175,31.751331,3.2863703,11.677996,5.937506
2.0,MiscellaneousDemersals,0.35693184,4.1535263,1.0038971,7.889225,12.074469,6.6583743,1.4929693,5.122951,0.2802904,1.3909125,6.2358975,11.28932,1.9864495,1.2556181,4.5015106,1.9214883,4.608055,2.1971037
2.0,ShallowDemersal,5.7116237,0.77781147,0.3676232,2.469221,1.1456804,0.4923753,0.72268856,0.0,0.01100557,0.7151979,1.2723205E-5,1.5464947,0.014619928,0.3406672,0.14398153,1.2272866,1.4775457,1.3028069
