"Biomass of prey species (in tons per time step of saving, in rows) eaten by a predator species (in col). The last column reports the biomass of prey at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","Prey","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,AtlanticHerring,5.312402E-4,0.13845998,0.05057101,0.24888933,26.2105,7.445231E-5,1.3866863,5.938064E-6,0.20246358,2.148402,3.6089597,6.282998,1.3094077,0.040470634,3.863095,0.18212491,0.0,0.0
1.0,AtlanticMackerel,1.6525494E-4,0.033900663,0.06697986,0.031900194,77.55264,7.771406E-8,2.8672009,2.3048032E-9,0.012056587,0.6687586,19.104536,2.8774006,0.52605265,0.0027037878,9.435079,0.002793335,6.7309845E-11,1.2303391E-12
1.0,BlackSeaBass,3.45335E-4,0.004803668,0.0016757296,0.017838905,3.4078488,5.00802E-6,0.73295784,4.1129428E-7,0.014719675,0.37011993,0.7099795,0.6886126,0.05771372,1.7793229E-4,0.31918976,0.0053440793,7.051473E-10,2.5590472E-11
1.0,Scup,0.00573233,2.055513,0.100251,0.04773429,82.5724,7.106699E-5,3.8669243,2.5103995E-5,1.3547667,22.010067,10.421002,8.17748,4.4424424,0.8455275,10.01171,0.7623776,2.3503434E-7,1.5629867E-5
1.0,SpinyDogfish,0.0,0.0,0.0043753483,0.0,10.310247,0.0,9.288833,0.0,0.0,0.0,3.0429711,0.0,0.09536807,0.0,0.0,0.0,0.0,0.0
1.0,StripedBass,4.1290303E-13,8.736471E-9,5.802595E-7,1.3195596E-6,0.003785392,3.652812E-9,0.0013214328,0.0,2.8477544E-7,1.9108227E-6,0.005739858,1.1413425E-4,1.4722906E-5,0.0,1.7287623E-4,3.781719E-12,0.0,0.0
1.0,Goosefish,3.1008975E-7,9.484266E-5,6.677291E-4,0.0027142249,1.5119069,5.74647E-7,1.8560994,2.403998E-8,2.0912144E-4,0.0017771034,0.4727055,0.08278147,0.038701285,3.5464037E-15,0.05537413,6.090702E-8,0.0,4.2051065E-10
1.0,Haddock,9.400565E-5,3.861202E-4,2.8803022E-5,8.351938E-5,0.02704709,3.6536167E-7,0.0131343575,2.1510738E-9,1.20472076E-4,0.009016784,0.0024365098,0.0107895555,2.6274935E-4,9.064453E-6,0.0036264586,1.12301284E-4,0.0,0.0
1.0,WinterFlounder,2.6656737E-4,0.059554804,0.041472856,0.038724907,66.08399,3.4469263E-5,3.257215,4.2953053E-7,0.0034827203,0.7973638,20.137213,5.187985,0.3475236,0.008046166,5.899752,0.012276959,1.5823605E-7,2.7371327E-8
1.0,Squids,0.22620057,39.045723,0.47501412,8.831222,229.27556,0.003547386,4.828217,0.0021240269,15.863414,370.5167,78.2775,127.8569,17.00223,78.97326,208.2433,106.00857,0.0,0.0
