i1, 3, 10:52:45, 0, 0, 2
i2, 3, 10:52:49, 0, 0, 2
i3, 3, 10:52:53, 0, 0, 2
i4, 3, 10:52:57, 0, 0, 2
i5, 3, 10:53:01, 0, 0, 2
i6, 3, 10:53:04, 0, 0, 2
i7, 3, 10:53:08, 0, 0, 2
i8, 3, 10:53:12, 0, 0, 2
i9, 3, 10:53:16, 0, 0, 2
i10, 3, 10:53:19, 0, 0, 2
i11, 3, 10:53:23, 0, 0, 2
i12, 3, 10:53:27, 0, 0, 2
i13, 3, 10:53:31, 0, 0, 2
i1, 3, 10:53:34, 0, 0, 2
i2, 3, 10:53:38, 0, 0, 2
i3, 3, 10:53:42, 0, 0, 2
i4, 3, 10:53:45, 0, 0, 2
i5, 3, 10:53:49, 0, 0, 2
i6, 3, 10:53:53, 0, 0, 2
i7, 3, 10:53:57, 0, 0, 2
i8, 3, 10:54:00, 0, 0, 2
i9, 3, 10:54:04, 0, 0, 2
i10, 3, 10:54:08, 0, 0, 2
i11, 3, 10:54:12, 0, 0, 2
i12, 3, 10:54:15, 0, 0, 2
i13, 4, 10:54:19, 0, 0, 3
i0, 3, 10:54:23, 0, 0, 2
i0, 3, 10:54:27, 0, 0, 2
i1, 3, 10:54:31, 0, 0, 2
i2, 3, 10:54:35, 0, 0, 2
i3, 3, 10:54:39, 0, 0, 2
i4, 3, 10:54:42, 0, 0, 2
i5, 3, 10:54:46, 0, 0, 2
i6, 3, 10:54:49, 0, 0, 2
i7, 3, 10:54:53, 0, 0, 2
i8, 3, 10:54:57, 0, 0, 2
i9, 3, 10:55:01, 0, 0, 2
i10, 3, 10:55:04, 0, 0, 2
i11, 3, 10:55:08, 0, 0, 2
i12, 3, 10:55:12, 0, 0, 2
i13, 4, 10:55:15, 0, 0, 3
i14, 3, 10:55:20, 0, 0, 2
i15, 3, 10:55:23, 0, 0, 2
i16, 3, 10:55:27, 0, 0, 2
i17, 3, 10:55:30, 0, 0, 2
i1, 3, 10:55:34, 0, 0, 2
i2, 3, 10:55:38, 0, 0, 2
i3, 3, 10:55:42, 0, 0, 2
i4, 3, 10:55:45, 0, 0, 2
i5, 3, 10:55:49, 0, 0, 2
i6, 3, 10:55:53, 0, 0, 2
i7, 3, 10:55:56, 0, 0, 2
i8, 3, 10:56:00, 0, 0, 2
i9, 3, 10:56:04, 0, 0, 2
i10, 3, 10:56:08, 0, 0, 2
i11, 3, 10:56:11, 0, 0, 2
i12, 4, 10:56:15, 0, 0, 3
i13, 3, 10:56:19, 0, 0, 2
i14, 3, 10:56:23, 0, 0, 2
i15, 3, 10:56:26, 0, 0, 2
